,Unnamed: 0,Unnamed: 0.1,2连板,2连板个股,3连板,3连板个股,3连板以上个股,3连板以上个股数,代表股票,强弱,涨停,炸板,红盘,绿盘,跌停,连板
82,82,2021-05-21,8.0,精伦电子;中毅达;水井坊;中广天择;奥 特 迅;福建金森;实丰文化;弘宇股份,4.0,浪莎股份;大东方;南侨食品;依依股份,华银电力4;东方银星7;财达证券10;华通线缆8;山东墨龙4;融钰集团6,6.0,,,61.0,16.0,1506.0,1405.0,4.0,43.0
83,83,2021-05-24,12.0,康欣新材;青山纸业;红星发展;华电能源;宜宾纸业;岳阳林纸;神驰机电;乾景园林;百龙创园;深南电A;平潭发展;美利云,3.0,中毅达;福建金森;实丰文化,大东方4;南侨食品4;依依股份4;融钰集团7,4.0,,,57.0,22.0,1810.0,1099.0,7.0,38.0
84,84,2021-05-25,4.0,大豪科技;亚联发展;天原股份;岭南股份,1.0,岳阳林纸,大东方5;南侨食品5;依依股份5;融钰集团8;福建金森4,5.0,,,45.0,21.0,1984.0,906.0,3.0,35.0
85,85,2021-05-26,6.0,华升股份;健麾信息;李子园;仁和药业;未名医药;泰坦股份,2.0,亚联发展;天原股份,岳阳林纸4;南侨食品6;依依股份6;福建金森5,4.0,,,53.0,31.0,1815.0,1086.0,1.0,41.0
86,86,2021-05-27,8.0,浙江新能;正源股份;丹化科技;茶花股份;泰达股份;承德露露;长源电力;顺控发展,1.0,健麾信息,南侨食品7;天原股份4;福建金森6,3.0,福建金森,,60.0,17.0,1734.0,1134.0,3.0,48.0
87,87,2021-05-28,9.0,海南椰岛;物产中大;海程邦达;华金资本;联络互动;宏创控股;飞龙股份;哈三联;立方制药,2.0,浙江新能;顺控发展,健麾信息4;南侨食品8;天原股份5,3.0,天原股份,,50.0,31.0,990.0,1961.0,2.0,36.0
88,88,2021-05-31,11.0,倍加洁;文灿股份;野马电池;东鹏饮料;常山北明;闽东电力;多氟多;鼎龙文化;融钰集团;金莱特;天际股份,5.0,海程邦达;联络互动;宏创控股;飞龙股份;哈三联,浙江新能4;健麾信息5;南侨食品9;顺控发展4,4.0,福建金森,,81.0,23.0,1786.0,1161.0,4.0,61.0
89,89,2021-06-01,13.0,大东方;海航科技;日播时尚;彤程新材;新日股份;一鸣食品;宜华健康;皇台酒业;美邦服饰;福建金森;金发拉比;昂利康;科瑞技术,4.0,倍加洁;东鹏饮料;鼎龙文化;融钰集团,浙江新能5;健麾信息6;南侨食品10;联络互动4;飞龙股份4,5.0,福建金森,,63.0,30.0,1881.0,1035.0,4.0,41.0
90,90,2021-06-02,5.0,敦煌种业;爱慕股份;浙江自然;新乡化纤;乐通股份,6.0,海航科技;日播时尚;彤程新材;皇台酒业;美邦服饰;昂利康,浙江新能6;倍加洁4;健麾信息7;南侨食品11;东鹏饮料4;联络互动5,6.0,健麾信息,,53.0,26.0,985.0,1976.0,18.0,36.0
91,91,2021-06-03,10.0,浪莎股份;柳化股份;陕西黑猫;中际联合;北清环能;众合科技;禾盛新材;柘中股份;长青集团;中瓷电子,2.0,爱慕股份;浙江自然,浙江新能7;海航科技4;日播时尚4;东鹏饮料5;联络互动6,5.0,,,63.0,38.0,1404.0,1514.0,11.0,46.0
92,92,2021-06-04,4.0,京城股份;鼎胜新材;延华智能;春兴精工,2.0,柳化股份;柘中股份,浙江新能8;日播时尚5;爱慕股份4;东鹏饮料6,4.0,,,50.0,22.0,1237.0,1710.0,9.0,40.0
93,93,2021-06-07,8.0,上海贝岭;新化股份;皇台酒业;大港股份;安 纳 达;智光电气;永太科技;同为股份,1.0,春兴精工,浙江新能9;东鹏饮料7;柘中股份4,3.0,,,57.0,30.0,1694.0,1243.0,12.0,45.0
94,94,2021-06-08,6.0,贵绳股份;一拖股份;聚力文化;旷达科技;美格智能;传智教育,3.0,上海贝岭;安 纳 达;同为股份,浙江新能10;东鹏饮料8;柘中股份5;春兴精工4,4.0,,,49.0,24.0,1412.0,1532.0,28.0,36.0
95,95,2021-06-09,5.0,龙头股份;金瑞矿业;金桥信息;无锡振华;京蓝科技,4.0,贵绳股份;聚力文化;美格智能;传智教育,东鹏饮料9;安 纳 达4;柘中股份6,3.0,,,49.0,16.0,1513.0,1399.0,7.0,37.0
96,96,2021-06-10,5.0,来伊份;睿能科技;国华网安;科力尔;欣贺股份,2.0,金桥信息;无锡振华,东鹏饮料10;柘中股份7;美格智能4;传智教育4,4.0,,,55.0,25.0,1321.0,1620.0,7.0,44.0
97,97,2021-06-11,9.0,物产中大;东航物流;福斯特;中科软;德业股份;云鼎科技;中银绒业;实益达;永太科技,2.0,国华网安;科力尔,无锡振华4;东鹏饮料11;美格智能5;传智教育5,4.0,,,50.0,24.0,1030.0,1925.0,14.0,35.0
98,98,2021-06-15,4.0,浙江富润;三峡能源;海汽集团;金财互联,0.0,,东鹏饮料12,1.0,,,29.0,11.0,760.0,2258.0,22.0,24.0
99,99,2021-06-16,4.0,三维股份;赛腾股份;先锋电子;京泉华,1.0,浙江富润,东鹏饮料13,1.0,,,34.0,16.0,857.0,2061.0,28.0,28.0
100,100,2021-06-17,6.0,嘉泽新能;爱玛科技;来伊份;绿田机械;奥海科技;传智教育,1.0,先锋电子,,0.0,,,48.0,24.0,1508.0,1413.0,5.0,41.0
101,101,2021-06-18,10.0,上海贝岭;岩石股份;三峡能源;口子窖;舒华体育;常山北明;中银绒业;海特高新;九鼎新材;露笑科技,1.0,爱玛科技,先锋电子4,1.0,,,52.0,24.0,1826.0,1092.0,3.0,40.0
102,2023-01-31,,13.0,川大智胜;汉王科技;光洋股份;福斯达;嵘泰股份;智能自控;威尔泰;成飞集成;海得控制;赛为智能;上海洗霸;耀皮玻璃;视觉中国,3.0,同为股份;达 意 隆;爱仕达,恒久科技,1.0,,,41.0,17.0,2979.0,1906.0,8.0,24.0
2023-02-08,,,5.0,鸿博股份;雷柏科技;三六零;物产金轮;金龙羽,1.0,宇通重工,中航电测;信达证券;捷荣技术,3.0,,,31.0,17.0,1382.0,3539.0,0.0,22.0
